"monster_name","description","abstract","personality","realm","activities","combat","biology","society","abilities","behavior","reputation","culture","sub-races","types","history","rumors","magic","uses"
"aarakocra","A powerful aarakocra warrior fromChult. Aarakocra resembled humanoid birds. The average specimen stood about 5 feet  (1.5 meters) tall and had a wingspan of 20 feet  (6.1 meters). Halfway along the edge of each wing was a hand with three human-sized fingers and an opposable thumb. An elongated fourth finger extended the length of the wing and locked in place during flight. The hands could not grasp while flying, but they were nearly as useful ashumanhands when an aarakocra was perched and its wings were folded back.[3][note 1] Their powerful legs ended in four sharp talons that could unlock and fold back to reveal another pair of functional hands. These humanoids had hollow, fragile bones. Their faces combined the features of bothparrotsandeagles. They had gray-black beaks and black eyes. Plumage color varied, but males generally had red, orange, and yellow coloration, while females tended towards brown and gray.[3]","5e3e2e1eVarious depictions of aarakocra.[note 1]Aarakocra5e4e3e2e1e5th Edition Statistics[1]SizeMediumTypeHumanoidTag(s)AarakocraAlignmentNeutral goodChallenge rating1⁄44th Edition Statistics[2]SizeMediumOriginNaturalTypeHumanoidAlignmentUnaligned3rd Edition Statistics[3]SizeMediumTypeMonstrous humanoidAlignmentOftenneutral goodChallenge rating1⁄22nd Edition Statistics[4]SizeMediumAlignmentNeutral good1st Edition Statistics[5]SizeMediumAlignmentNeutral goodGeneral InformationPatron deitySyranitaKrocaa[6]Naratok[7]MovementFlying[1][2][3][4]Activity cycleDiurnal[4]DietCarnivorous[4]Average lifespan65 years[8]Homeland(s)AerieColiar[9]FaerûnMaztica[3]Kara-TurLanguage(s)Aarakocra,[10]Auran,[1][3]Common[3]Favored climateWarm, temperate[3]Favored terrainMountainsAppearance[3]Average height5 ft  (1.5 m)Average wingspan20 ft  (6.1 m)Average weight90 lb  (41 kg)Eye color(s)BlackHistoryFirst appearanceFiend Folio1steditionAarakocra(pronounced: /ærɑːˈkoʊkrɑː/æ-ra-KO-kra[11]listenor: /ɑːrɑːˈkoʊkrɑː/a-rah-KO-krah[12];pl:aarakocra[1][4][5]or:aarakocras[3]), also calledbird-men,[13]were a race of avianhumanoids.[3]","Aarakocra were generally peaceful creatures who cherished their solitude.[14]They were known to be extremely claustrophobic, often refusing to enter caves or other enclosed spaces.[3] Male aarakocra tended to have very short tempers and had been known to fly into fits of rage when a perceived wrong occurred. They also were notorious romantic flirts, regardless of whether or not they were married.[9]","NOT FOUND","NOT FOUND","Since aarakocra avoided melee combat when possible, their combat tactics revolved around attacking opponents from above.Javelinswere the weapon of choice for many aarakocra, so much so that they developed their own unique type of javelin called aflight lance. A single aarakocra could comfortably carry up to six javelins at a time, stored in a special sheathe that was strapped to its body. Other weapons used by aarakocra includeddartsanddaggers. Their sharp talons and beaks were effective weapons as well. Occasionally they worestudded leather, but they never usedshields.[14]","NOT FOUND","An aarakocra in flight. OnToril, aarakocra lived atop the highest mountain peaks in small tribes that shared a communal nest and controlled hunting territories of about 100 square miles (260 square kilometers). Anyanimalsin this territory were considered fair game, including the domesticated livestock of other races, and most male aarakocra spent their days hunting. The eldest male served as leader, assisted by the tribe's shaman. Meanwhile, female aarakocra crafted the tribe's tools and weapons.[3] Aarakocra were also one of the major races on the inner planetColiar. On that planet, it was the females who were always chosen as leaders, as society deemed them far more controlled emotionally. These aarakocra females were chosen by democratic elections, and each ruled over one of over 100 extended families. Males were not forbidden from running for office, but society was strongly against their election, and as of the late 14thcenturyDR, no male had ruled for over 1,000 years. Male aarakocra from other worlds sometimes took offense at this societal trend.[9]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","A sneaky aarakocra rogue. Following the fall of their empires to the firstFlight of Dragonsaround−30,000 DR, the surviving members of the avian creator race known as theaearee(primarily the subgroup known as theAearee-Krocaa) fled toAnchorome, where their further exploits went largely undocumented by Faerûnian historians. The only thing known was that at some point after their arrival there, the aearee either created or devolved into the aarakocra, who then move south into Maztica.[23] In418 DR, following generations of travel betweenMazticaand the islands of theTrackless Sea, the first aarakocra colonists successfully crossed to northernFaerûn.[24] In1267 DR, the last aarakocra living in theRiders to the Sky Mountainswere killed byChessentanmercenaries, who hunted them to extinction for sport.[25] In the 1360s DR, there were five aarakocra settlements on the Star Mounts when the green dragon Elaacrimalicros attacked, killing over 120 aarakokra and leaving their homes completely uninhabitable.[26]The survivors scattered across theNorth, many swearing revenge—such as theNest of Retributionin theLost Peaks.[27]Forty-seven survivors came together for shelter at the source of theUnicorn Runin a new settlememt known asKhle'cayre.[26] As late as1370 DR, the city ofRavens Bluffclassified aarakocra as ""monsters"" that a third-party required a permit from city officials in order to bring into the boundaries of the city.[28]","NOT FOUND","NOT FOUND","ANetheresearchwizarddiscovered that the feathers and other body parts of an aarakocra could be used as components in the brewing of apotion of extra-healing.[29]NOT FOUND"
"abjurer","Some personality traits were more commonly found among some practitioners of abjuration. They were said to be exceptionally well-prepared for any adverse circumstance that may arise. Philosophically speaking they believed in prevention rather than reaction.[7]","Protective magic was the specialty of the abjurer.AbjurerAbbreviationAbj,[1][2]W(A)[3]Class Statistics5e3e2e5th Edition Statistics[4]Arcane TraditionSubclass ofWizardProficienciesWeaponsDaggersDartsLight crossbowsQuarterstaffsSlingsMagic UseMagic typeArcaneSpell preparationPrepared3rd Edition Statistics[5]SpecialistVariant ofWizardMagic UseMagic typeArcaneSpell preparationPrepared2nd Edition Statistics[6]SpecialistVariant ofWizardRequirementsRaceHumanList of known abjurers","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","These specialist wizards learned how to createarcane wardsaround their person whenever they utilized spells from the abjuration school. This magical barrier would absorb and nullify any harm inflicted upon them for a short duration. Over time, abjurers learned how to extend that ward onto other individuals.[4][8] Master abjurers developed a strong resilience against spells cast upon them, especially those that were physically harmful.[4]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"aboleth","Aboleths were fish-like amphibians of immense size, often reaching 20 feet  (6.1 meters) in length and weighing up to 6,500 pounds  (2,900 kilograms),[10][9]though they continued to grow as they aged and some fantastically ancient specimens might reach 40 feet  (12 meters) in length.[11]They resembled a bizarre eel, with long, tubular bodies, as well as a tail at one end and two fins near the head and another along the back. Aboleths' mouths werelamprey-like, filled with serrated, jawless teeth.[9] Aboleth underbellies were often orange-pink, while their topsides were typically sea-green. A little bit back from the head were four long tentacles, two sprouting from across each other on the top, and two more of the same on the underbelly. Their heads were roughly triangular-shaped, with a spherical, somewhat beak-like nose. Above the nose were their three eyes, each one set atop the other. Tendrils and a few shorter tentacles dangled from the bottom of the head. Four blue-black slime-secreting orifices lined the bottom of their bodies.[9]Aboleth blood was green and thick, oozing like sap.[12] Aboleths breathed through a thick gray mucus-like substance, which covered their body and which they exuded from four pulsating organs along their body as they moved.[10]If robbed of the ability to exude this slime, an aboleth would suffocate in water or on land alike. As such, an aboleth had to take care of its mucus. Out of the water, an aboleth's membrane-like skin dried out quickly, but this did not prove fatal in and of itself. Instead, the aboleth would eventually enter a state of suspended animation, called long dreaming, a fate considered far worse than simply dying amongst aboleths. During this process, the so-hampered aboleth formed a tough, waterproof membrane. However, if this membrane was pierced, liquid flooded out and death was usually not far off for the aboleth.[13] Aboleths did not die of old age and so lived on indefinitely, barring violence or disease.[13]","5e4e3e2e1eVarious depictions of aboleths.Aboleth5e4e3e2e1e5th Edition Statistics[1]SizeLargeTypeAberrationAlignmentLawful evilChallenge rating104th Edition Statistics[2]SizeLargeOriginaberrantTypeMagical beastKeyword(s)AquaticAlignmentEvil3rd Edition Statistics[3][4]SizeHugeTypeAberrationSubtype(s)Aquatic,psionicAlignmentUsuallylawful evilChallenge rating72nd Edition Statistics[5][6]SizeHugeAlignmentLawful evil1st Edition Statistics[7]SizeLargeAlignmentLawful evilGeneral InformationPatron deityPisaethces(most common aboleths and all savant aboleths)Ghaunadaur/Juiblex(some)[6]MovementSwimming[1][2][3]VisionDarkvision[1][2][3]Homeland(s)Far RealmSea of Fallen StarsUnderdarkIntelligenceHigh[3][5][7]Language(s)Aboleth,Aquan,Deep Speech,[1]Undercommon,Telepathy[1][2][3]Favored terrainUnderground[3]Appearance[3][6]Average length20 ft  (6.1 m)Average weight6,500 lb  (2,900 kg)Eye color(s)RedHistoryFirst appearanceDwellers of the Forbidden CityAboleths(pronounced: /ˈæboʊlɛθ/ÆB-o-leth[8]listen;pl:aboleths[1][3][7]or:aboleth[5]) were a race of malevolent,eel-likeaberrationswith potentpsionicabilities.[9]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","Aboleths had powerful psionic powers and were naturalpsionslikemind flayersand many other denizens of theFar Realm.  However, aboleths had a much more fearsome ability, the capacity to secrete a viscous gray fluid, much like mucus, which brought about a terrible transformation in air-breathing creatures so unfortunate as to be caught in the fluid. The skin of the victim was transformed into a membrane that allowed it to breathe in water, and changed the creature's consciousness to that of a mindless servant. This allowed aboleths to keep slaves, known asaboleth servitors, which they dominated and kept captive through their mind. Only the most powerful aboleths could do this, however, completing the process through a powerfulritual.[14] Another strange feature of aboleths was their memory. An aboleth was born with a racial memory, each individual inheriting the memories of its ancestors. Furthermore, it assimilated the memories of those it consumed. Each aboleth's memories were stored within an ever-growing part of its brain that extended down its back as it aged. Aboleths enjoyed spending time lost in particularly fine memories of their ancestors, and if they had nothing better to do, they might relive entire portions of their forebears' lives.[9] Aboleths were all hermaphroditic, possessing both male and female reproductive organs. When aboleths bred, they did so in private, laying roughly one to three eggs once every five years. When laid, the eggs gestated for the same five years before hatching into fully functional aboleths. Although these young aboleths are functionally adults, they typically remained with their parent for roughly a decade, obeying the elder aboleth without question before setting out on their own.[10]","NOT FOUND","NOT FOUND","Aboleth society was utterly alien in many ways to that of more familiar races, in part due to the racial memory all aboleths exhibited as well as their generally bizarre psyches. Some aboleths formed clusters known as ""broods"", ruled over by powerful ""overseers."" These broods were often accompanied by aboleth servitors or other minions, such as thekuo-toawho were known to sometimes serve the race.[16] Aboleths had nogodsthat they worshiped. While they acknowledged the presence and power of gods, they had memories of a time long before any modern gods were worshiped and recalled such gods' birth and often demises within their own lifetimes. They were not concerned with anafterlifesince their perspective on death was to consider it a failure and they intended to live forever. Aboleths did, however, have a certain respect that sometimes approached reverence for the powerful beings known aselder evils.[17] Aboleths used the termboorm(meaning ""flow"") to indicate a period of time.[18]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"abyssal wretch","The body of an abyssal wretch was a disfigured version of its original body.[1]","Abyssal Wretch5e5th Edition Statistics[1]SizeMediumTypeFiendTag(s)DemonAlignmentChaotic evilChallenge rating1⁄4General Information[1]VisionDarkvisionHomeland(s)AbyssLanguage(s)AbyssalAbyssal wretcheswere a type offiendcreated by mutating a humanoid.[1]","NOT FOUND","NOT FOUND","NOT FOUND","Abyssal wretches attacked a target with whatever weapon they could wield.[1]","NOT FOUND","NOT FOUND","Abyssal wretches were immune to all types ofpoison. They were also hardened against cold-, fire-, or lightning-based attacks. An abyssal wretch could not becharmedorfrightened.[1]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"acolyte","NOT FOUND","Acolyte5e5th Edition Statistics[note 1]SizeMediumTypeHumanoidTag(s)AnyAlignmentAnyChallenge rating1⁄4Acolytes(pronounced: /ˈækoʊlaɪt/ÆK-o-leyet[1]listen) were junior members of a clergy, usually answerable to a priest. They performed a variety of functions in a temple and were granted minor spellcasting power by their deities.[2]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"air","NOT FOUND","This is aGood Article! Vakaros, theelder runefor marking air.AirHistory[1][2][3]AliasesElemental AirLocationsElemental Plane of Air,Elemental ChaosPhysical propertiesMaterial typeElementColorColorlessPropertiesInvisible gasThe element ofairwas one of the four fundamental building blocks of matter,[4]and the origin of everything that was gaseous.[5]It represented change, flexibility, and freedom.[6]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"aldani","An aldani resembled alobster, but was the size of ahumanbeing. They walked upright on twohumanoidlegs,[1][3]but swam like lobsters.[3]Their faces vaguely resembled that of a human, though encased in chitinous armor and their eyes extend upon long stalks.[1][3]","Aldani5e5th Edition Statistics[1]SizeMediumTypeMonstrosityAlignmentLawful neutralChallenge rating1General Information[1]VisionDarkvisionHomeland(s)ChultIntelligenceAverageLanguage(s)Aldani language,[2]CommonFavored terrainLakes, riversAppearance[1][3]DistinctionsEye stalks, natural body armorAldani, also known aslobster men,[3][4][note 1]orlobsterfolk,[1]were a race of crustacean beings endemic toChult. They inhabited its many great rivers[1][3][5]and lakes, but eventually isolated themselves to the swampy lakes of theAldani Basin.[1][5]","Despite their appearance, the aldani were highly intelligent and quite civilized race of beings.[3]They generally tried to avoid conflict,[1]thus whenever disputes arose among aldani they would try to settle them with courtly tournaments, though such privilege would not be offered to non-aldani that fell afoul of them.[3]When disturbed by outsiders, an aldani would not resort to violence. Instead they would try their best to frighten them away. Barring that, they would try to bribe the creature into leaving them alone, offering treasures that they had collected.[6]","NOT FOUND","NOT FOUND","When forced to engage in battle, alddani often fought to the death,[3]using their large pincers.[6]","NOT FOUND","These creatures once inhabited specific sections of the murky depths of Chults three largest rivers, the River Olung,River Tath, and theRiver Soshenstar.[3]By the late 15thcentury DR, they were primarily found within the Aldani Basin,[1][5]though they occasionally traveled back out into Chult's rivers.[8] Alani lived in communities of up to twenty individuals. They almost never left the water, thus few outsiders saw them outside this environment. They strictly patrolled their territory, with patrols accompanied by up to twenty trainedpiranhas.[3]They also were known to scavenge for various treasures within the rivers and lakes they inhabited.[6]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","According toChultanlegend, the Aldani were once a peaceful tribe of fisherfolk, but when they brought all of the lobsters in a river to extinction by over-fishing, this angered the godUbtao, whose punishment was to turn them into the race of lobsterfolk.[7]The fisherfolk readily accepted their punishment and new state of being. However, they were scorned by the rest of their Aldani tribesmen and cast out into the rivers they had so greedily plundered.[6] Around1363 DR,[3]MainuofMezro, abara, dwelt in theRiver Olungwith a dozen aldani guards in her throne room.[3] By the late 15thcenturyDR,[note 2]no reliable witnesses had seen the aldani for over a century, causing most Chultans to believe that the lobster folk had gone extinct. In reality, they had chosen to abandon their homes in the rivers in favor of secluding themselves in the Aldani Basin.[5]","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"alhoon","Alhoons looked as they had in life except that their skin possessed none of the wet, smooth, slimy texture of living illithids, instead, appearing dry, wrinkled, and cracked as a result of the powerful magic resistance that had prevented a perfect conversion to lichdom. They had to work hard to keep their skin hydrated—such as by taking frequent baths or by consuming liquids—or else it would begin to desiccate.[5] They detested—but were not generally harmed by—bright lights, extreme temperatures, and lack of food.[7]","5e3e2eVarious depictions of alhoons.Alhoon(Illithilich)5e4e3e2e5th Edition Statistics[1]SizeMediumTypeUndeadAlignmentLGNGCGLNNCNLENECEChallenge rating104th Edition Statistics[2]OriginAberrantTypeHumanoidKeyword(s)UndeadAlignmentEvil3rd Edition Statistics[3]SizeMediumTypeUndeadAlignmentLawful evilChallenge rating182nd Edition Statistics[4]SizeMediumAlignmentNeutral evilGeneral Information[1][4]VisionTruesightActivity cycleAnyIntelligenceGenius[4]to Supra-genius[2]Language(s)Deep Speech,Undercommon,TelepathyFavored climateAnyFavored terrainAnyAlhoonswere magic-using outcasts frommind flayersocieties who had defied the rulingelder brainsto achieve a limited form oflichdom. Only the most powerful mind flayer mages could achieve true lichdom and were known asillithiliches;[1]however, many in the Realms did not make this distinction.[3][5]","NOT FOUND","NOT FOUND","NOT FOUND","Many Alhoons had beenwizardsorsorcerersin life, and thus combined these abilities with their innate skill atpsionicsand the formidable resilience of a lich to become truly dangerous beings.[5]In close quarters, they used their tentacles to target the heads—and brains—of their foes. Asundeadcreatures, they were highly resilient, and further were quite resistant to most anti-undead magics, such asturning. However, most did not enjoy the full range of powers possessed by a true lich.[4] Alhoons favored the use ofwandsin combat, and often carried at least onemagic item.[8]","NOT FOUND","An alhoon staying hydrated. To become an alhoon in the first place required that a mind flayer be a deviant among its kind for pursuingarcane magic, and so they already tended to be cruel and ambitious even by illithid standards.[1]Their powerful combination of arcane magic and psionics led them to become a threat to the established order of theUnderdarkand beyond as of the mid-to-late 14thcenturyDR.[5]They spurned the elder brains who ruled illithid societies, and had no qualms about mentally enslaving illithids, a taboo in mind flayer society.[4]They were ignored, feared, and hated by mortal illithids for their rejection of the illithid circle of life, culminating with the physical and psychic merging with an elder brain.[1] Alhoons were known to have developed a number of unique spells, and to have modified a number of existing spells in order to eliminate theirverbal components.[9]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","In theYear of Sundered Webs, −339 DR, the Netherese sorcerer-kingIoulaumdisappeared fromNetherilas thephaerimms'lifedrainspells were causing his life-sustaining magic,Ioulaum's longevity, to fail. Ioulaum embraced lichdom and established a lair in the depths of theNorthdark, and the first illithiliches (who referred to themselves as the Alhoon) were believed to have been his students recruited from the nearby mind flayer city ofEllyn'taal. Ioulaum’s intentions for recruiting mind flayer students became clear when he created an undead elder brain from the minds of his illithid students and then merged his own sentience into it. Most of his illithilich apprentices were destroyed in the ritual, and Ioulaum's lasthumanapprentice,Tabra, mistook this violence as a battle in which the mind flayer students had betrayed their master and murdered him. To avenge her master, she cast the now perfectedIoulaum's longevityon herself and slaughtered the last few of remaining mind flayers of Ellyn’taal. However, a few of the illithiliches escaped and spread the secret of illithilich creation to mind flayer communities throughout the Realms Below.[10] Around the same time as the beginning of theRetreat,circatheYear of Moonfall, 1344 DR, alhoons began infiltrating the ruins ofMyth Drannorseeking magic items andspellbooks. They used their powers to turn other denizens of the ruins against each other—notably the phaerimm and thebaatezu—while they hid and searched. Over the next 25 years, approximately forty alhoon would arrive in Myth Drannor, and they enlisted the aid ofnagas,deepspawn,gargoyles, and any newly arrivedadventurersto continue distracting their rivals in the area.[7] By the mid-to-late 14thcenturyDR, the alhoon were becoming a force with which to be reckoned across the Underdark as they gained control of communities of mind flayers, beholders, andVhaeraunitedrow.[11]Rumors abounded in cities likeMenzoberranzanthat their spies were everywhere, and preemtive measures were taken should the alhoon begin mental intrusions into the drow power structures.[12]On the surface, they had begun to infiltrate theDalelandsby capturing seculded wizard towers.[13] In1369 DR, the alhoon who dwelt within the ruined Myth Drannor and itsDwarven Dungeonswere driven out by members of theCult of the Dragonand theirred dragondracolichally,Pelendralaar.[6]. In the same year, alhoons were known to have taken up residence in the abandoneddrowcity ofTelnarquel.[14]","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"alkilith","Alkiliths had an ooze-like, green, phosphorescent body, dotted with about 3–7 swollen eye-globules. They were covered in a leathery coating that constantly cracked open, oozed, and hardened again. While normal alkiliths were about 6 ft  (1.8 m)[3]in diameter, they could alter their form to fit archways or cracks, and they could be easily mistaken for strange fungal growths if they remained still.[2]Some were known to take on an alternate form in the shape of a green cloud of vile vapor about 20×20×10 feet (6×6×3 meters) in size.[3]It was believed that there was no upper limit to the size they could grow, and there were reports of a lake-sized specimen in the deepest layers of the Abyss.[2]","5e3e2eVarious depictions of alkiliths.Alkilith5e3e2e5th Edition Statistics[1]SizeMediumTypeFiendTag(s)DemonAlignmentChaotic evilChallenge rating113rd Edition Statistics[2]SizeMediumTypeOutsiderSubtype(s)Chaotic, EvilAlignmentAlwayschaotic evilChallenge rating142nd Edition Statistics[3]SizeLargeAlignmentChaotic evilGeneral InformationVisionDarkvision[1]Homeland(s)The AbyssLanguage(s)UnderstoodAbyssalbut could not speak[1]AppearanceAverage height6 ft  (1.8 m)[3]Alkilithswere among the few denizens of theAbyssthat even otherdemonsfound revolting, resembling a bright green mass of dripping, toxic corruption. Putrescence made living, alkiliths were embodiments of pestilence and heralds of blight.[3][2]","Alkiliths were hateful creatures that took pleasure in polluting their environment. This desire was so extreme that they were willing to ignore attacks against them for the chance of corrupting a fresh body of water.[2]Although not particularly interested in joining armed forces against them, alkiliths were just as vicious towardsbaatezuas other demons would be.[3]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","Similar in function to demons likeglabrezus, alkiliths shared a role in corrupting the world both physically and morally. Unlike most otherfiends, alkiliths brought the foulness of the Abyss to other realms rather than try to lure beings of other realms into the Abyss. They despoiled precious sites, desecrated sacred places, and empowered negative emotions into full outbursts of evil activity in order to bring power to the Abyss.[3] An alkilith receptionist Alkiliths were considered so hideous and horrifying, even by demonic standards, that other demons loathed, and feared their presence. They were often sent bydemon lordsas messengers and assassins to complete tasks in regions of the Abyss that other demons found too inhospitable but which they would thrive in.[3][2]Although most demons disliked them they were granted some protection due to their relative importance, even though a demon lord's mood swings could drastically alter their fortune.[3] Because of their specialized skills and repulsiveness to other demons, they were one of the few demons that were not mandated to join theBlood War.[4]Ifbabausormolydeitried to recruit them into their armies they simply slinked off into the fouler regions of the Abyss.[3]Their ability to create gateways to the Abyss made them often too risky for many cultists to consider summoning, forcing them to make their way to theMaterial Planeon their own.[1]Alkiliths could be summoned by a very powerfulthrall of Juiblexdespite the fact it would normally exceed their regular demon summoning capabilities.[2]","Alkiliths could move surprisingly fast despite the gelatinous nature of their bodies, and could squeeze through cracks as small as 1 inch (2.5 centimeters) wide. They could strike out at their enemies using several of their acidic pseudopods, causing frailer foes and fragile items to degrade from the clinging ooze.[2]Although their natural weapons were more than sufficient for their typical goals, their psuedopods were capable of fine manipulation and wielding weapons.[3] They were known to host a large number of magical abilities, most of which furthered their mission to cause pollution and decay, such ascontagion,desecrate,enervation,stinking cloud, at will andunholy blightup to three times a day.Detect magic,dispel magic,hold monster,magic circle against good,wall of ice,teleport without error, andcone of coldwere also in their magical skillset, with the latter-most spell only usable three times a day. They were capable of summoning ahezrou, orchasmesto aid them in a battle if need be, and were also capable of controlling oozes.[2][3] When adopting their cloud forms, alkilith were so noxious that they affected other beings similarly to acloudkillspell, but it took a considerable amount of time to return to normal and they could be harmed by strong winds blowing away their essence.[3]Bludgeoning and slashing at them was ineffective because of their amorphous bodies, and they were immune to harmful gases in any state.[2] The very presence of an alkilith was a bad omen of things to come, as it spread madness around itself, causing a faint buzzing noise to appear in people's minds and cause them increasing confusion. In fact, an akilith could even corrode the fabric of reality, growing themselves around apertures like doors and windows in order to become living gates to the Abyss.[1]If akiliths were allowed to prosper in the Material Plane entire legions could find themselves overrun with rampant disease and senseless fighting. Not even other demons were immune to the billowing fumes and overpowering corrosion of an alkilith.[3]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","Alkiliths were both the servants and children ofJuiblex, who often used these creatures to carry out his demands.[1][4][5]They formed from the stray pieces that he left behind as he moved, gradually growing and gaining increased self awareness before setting out to spoil the world.[1]Along with their creator, they were among the earliest tanar'ri to appear in the Abyss, and as such lacked any humanoid traits.[6]Their ancient nature was another similarity between them and the corruptive glabrezus, but while glabrezus embodied envy, alkiliths were an embodiment of sloth.[7]","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"allip","Allips were spectral variations of the persons they once were, with nightmarish, warped features befitting of the madness that possessed them. Their lower portions trailed away into a dark, faint fog as they floated.[3]","5e3eVarious depictions of allipsAllip5e3e5th Edition Statistics[1][2]SizeMediumTypeUndeadAlignmentTypicallyneutral evilChallenge rating53rd Edition Statistics[3][4]SizeRegular – mediumHorde – gargantuanTypeUndeadSubtype(s)IncorporealAlignmentAlwaysneutral evilChallenge ratingRegular – 3Horde – 11General Information[3][1][9][3]MovementFlyingVisionDarkvisionHomeland(s)Naerindyl Estate,Impiltur[4]Channath Vale,South Faerûn[5]Dambrath,Halruaa[5]Beastlands[5]Aglarond,Altumbel[6]Ashanath,Thay[6]Great Dale[6]Underdark[7]Domains of Dread[8]IntelligenceAverageFavored climateAnyFavored terrainSwamps, urban areasAppearance[3]DistinctionsConstant, unintelligible babblingAllipswere the incorporeal remnants of people driven toinsanityand suicide.[3]They were a type ofundeadcreature commonly conjured by evil spellcasters using the more advanced versions of thesummon undeadspell.[10]","NOT FOUND","NOT FOUND","NOT FOUND","A hero standing against an allip in the ruins of theNaerindyl Estate. When an allip entered combat, it began by trying to hypnotize its foes with mesmerizing and maddening babbling, trying to neutralize as many opponents as possible. Once the creature knew who of its opponents remained unaffected, an allip went after them first, attempting to touch them and consume their sanity. An allip almost never retreated nor escaped from danger.[11]","NOT FOUND","NOT FOUND","An allip had the ability to drain sanity from any creature it touched, growing more powerful in the process. It was as insane in death as in life; anyone detecting an allip's thoughts by magic or telepathy was driven to the same madness.[3] Creatures who heard incessant allip babbling could fall victim to theirhypnosis. An allip couldhypnotizeany sane creature within a 60 feet  (18 meters) radius.[3] Like many other undead, allips possessed resistance to damage caused throughacid, fire, lightning, thunder, as well as non-magicalweapons. They were completely unaffected by damage done via cold, necrotic energies, andpoisons. They could never becharmed, exhausted, frightened, paralyzed, petrified, nor grappled or physically restrained in any way.[2]","An allip's only desire was revenge on those who supposedly pushed it over the edge to suicide. It swung wildly at any creature it detected, unaware that its incorporeal form could cause no physical harm. An allip babbled constantly in incoherent whines.[3]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","TheNaerindyl Estateof theNaerindylfamily that once stood north ofMoranayinImpiltur, was the site of a grim mass-grave of the estate's inhabitants, nobles and servants alike, all torched before the late 14thcenturyDR. The mass grave spawned a terrifying gargantuan horde of allips every night that indiscriminately slaughtered all living things nearby.[4]","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
