"monster_name","description"
"aarakocra","A powerful aarakocra warrior fromChult. Aarakocra resembled humanoid birds. The average specimen stood about 5 feet  (1.5 meters) tall and had a wingspan of 20 feet  (6.1 meters). Halfway along the edge of each wing was a hand with three human-sized fingers and an opposable thumb. An elongated fourth finger extended the length of the wing and locked in place during flight. The hands could not grasp while flying, but they were nearly as useful ashumanhands when an aarakocra was perched and its wings were folded back.[3][note 1] Their powerful legs ended in four sharp talons that could unlock and fold back to reveal another pair of functional hands. These humanoids had hollow, fragile bones. Their faces combined the features of bothparrotsandeagles. They had gray-black beaks and black eyes. Plumage color varied, but males generally had red, orange, and yellow coloration, while females tended towards brown and gray.[3]"
"aboleth","Aboleths were fish-like amphibians of immense size, often reaching 20 feet  (6.1 meters) in length and weighing up to 6,500 pounds  (2,900 kilograms),[10][9]though they continued to grow as they aged and some fantastically ancient specimens might reach 40 feet  (12 meters) in length.[11]They resembled a bizarre eel, with long, tubular bodies, as well as a tail at one end and two fins near the head and another along the back. Aboleths' mouths werelamprey-like, filled with serrated, jawless teeth.[9] Aboleth underbellies were often orange-pink, while their topsides were typically sea-green. A little bit back from the head were four long tentacles, two sprouting from across each other on the top, and two more of the same on the underbelly. Their heads were roughly triangular-shaped, with a spherical, somewhat beak-like nose. Above the nose were their three eyes, each one set atop the other. Tendrils and a few shorter tentacles dangled from the bottom of the head. Four blue-black slime-secreting orifices lined the bottom of their bodies.[9]Aboleth blood was green and thick, oozing like sap.[12] Aboleths breathed through a thick gray mucus-like substance, which covered their body and which they exuded from four pulsating organs along their body as they moved.[10]If robbed of the ability to exude this slime, an aboleth would suffocate in water or on land alike. As such, an aboleth had to take care of its mucus. Out of the water, an aboleth's membrane-like skin dried out quickly, but this did not prove fatal in and of itself. Instead, the aboleth would eventually enter a state of suspended animation, called long dreaming, a fate considered far worse than simply dying amongst aboleths. During this process, the so-hampered aboleth formed a tough, waterproof membrane. However, if this membrane was pierced, liquid flooded out and death was usually not far off for the aboleth.[13] Aboleths did not die of old age and so lived on indefinitely, barring violence or disease.[13]"
"aldani","An aldani resembled alobster, but was the size of ahumanbeing. They walked upright on twohumanoidlegs,[1][3]but swam like lobsters.[3]Their faces vaguely resembled that of a human, though encased in chitinous armor and their eyes extend upon long stalks.[1][3]"
"allip","Allips were spectral variations of the persons they once were, with nightmarish, warped features befitting of the madness that possessed them. Their lower portions trailed away into a dark, faint fog as they floated.[3]"
"almiraj","Almiraj resembled a large rabbit[1]orharewith yellowish fur which is soft, and a 1‑foot-long (30‑centimeter) spiraled horn, usually black in color,[4]in their foreheads, likeunicorns.[1]"
"ambush drake","Ambush drakes grew to be 5 feet  (1.5 meters) in length and 200 pounds  (91 kilograms) in weight, with their bodies covered in scales of a dark gray or black hue.[3]The leaders of their packs were typically larger in size and bore many scars.[2] These creatures had elongated jaws and muscular builds, though their wings were quite stunted for their size. These wings were only used when necessary, the ambush drake instead preferring to get around on its four legs. When attempting to fly, their glides typically could only cover up to 30 feet  (9.1 meters).[3]"
"deva","Devas appeared ashuman-like men and women[note 2]of extraordinary beauty or handsomeness with two magnificent feathered wings emerging from their shoulders.[6][7][5][3][4][2]Monadic and movanic devas stood around 6–6.5  feet (1.8–1.98  meters) tall, while astral devas were around 7–7.5 feet (2.1–2.3 meters) tall. Their coloration varied: astral devas were golden-hued with fair hair and amber eyes; monadic devas were dark-skinned with black hair and green eyes; and movanic devas were milky-white-skinned with silvery hair and eyes.[6][7][5][3][4]In the late 15thcenturyDR, devas were known for their silvery skin and their lustrous eyes and hair.[2][note 3] Devas were averse to clothing; when they must adhere to mortal custom, they donned simple loincloths or other coverings.[4] When a deva died, all parts of their body, what clothes they wore, their weapons, and their other possessions vanished completely, and thus none were ever examined closely.[5][4]"
"planetar","A planetar usually appeared as a handsome, powerful, and muscularhumanoidcreature[3][6][7]with opalescent[2][6][7]emerald skin.[4][5][2][3]They had opalescent[6][7]white-feathered wings,[4][5][2][3]stood between about 8[4][5]and 9 feet[3](2.4 to 2.7 meters) tall, and weighed about 500 pounds (230 kilograms).[3]They were typically bald.[4][5][3][6][7] Not all planetars appeared like this, however. For example, theShards, the planetars in service toSelûnehad long, flowing blue hair and pearly white skin.[12][13][14][15]"
"solar","A solar had a deep, commanding voice.[3][4][5][6][7]Itshuman-like[4][5]body was muscular[3][4][5]and beautiful,[4][5]with skin of copper,[6][7]silver,[3]gold,[3]or other metallic coloration.[4][5]Its hair was bronze or metallic-colored as well.[4][5][6][7]Its large, gleaming double[6][7]wings were white[3][16]or coppery-gold,[6][7]and its eyes were as radiant topaz.[3][4][5][6][7]Solars stood about 9 feet  (270 centimeters)[3][4][5]or 10 feet  (300 centimeters)[6][7]tall and weighed about 500 pounds  (230 kilograms).[3] Not all solars appeared like this, however. For example, the solars in Corellon's court appeared rather as androgynous elves in shining white robes.[17]"
"flying sword","Despite the name commonly used to refer to them, they could be found in the form of almost any armament such asaxes,maces, self-loadingcrossbows,[1]or evengauntletsofarmor.[2]"
"rug of smothering","There was a large variety of shapes and appearances that a rug of smothering could be made into. They sometimes were built to resemblecarpets of flying, but were otherwise indistinguishable from ordinary, non-magical rugs, except if inspected through magical detection.[1]"
"ankheg","Ankhegs were covered in a strong chitin armor.[1]"
"assassin vine","A single specimen usually consisted of a 20 feet  (6.1 meters) main branch as thick as ahuman's forearm. Smaller vines up to 5 feet  (1.5 meters) extended from the main branch and bore clusters ofgrape-like berries. The bark was stringy. The leaves of an assassin vine were distinct in their asymmetric five-pointed shapes, which resembled a hand.[2] The plants were tougher than usual and were resistant to burning or freezing. Electricity did not harm them at all.[2] Assassin vines could move along the ground but very slowly.[2]"
"astral dreadnought","Astral dreadnoughts were massive creatures. They had a single, large eye above a large mouth filled with sharp teeth. Instead of hands, they had crab-like pincers, which were incredibly strong and lined with sharp, serrated edges. Their entire body was protected by a layer of strong, spiked armor plates, and their lower half of their body was serpentine. Legend had it that their lower half was infinite, stretching off into the distance.[3][4]"
